program,source,repository,version,family,regions,local,present_absent,divergent,identical,loop,multi_qubit_conditional_regions,novel_conditional_pairs,unconditional_multi_qubit_ops
qec_sm_n5,qasmbench,pnnl/QASMBench,357b942396d5c2b7cbc1c229c585a6ef5ccaebac,qec_sm_n5,3,3,0,0,0,0,0,0,1
shor_n5,qasmbench,pnnl/QASMBench,357b942396d5c2b7cbc1c229c585a6ef5ccaebac,shor_n5,4,4,0,0,0,0,0,0,9
cc_n12,qasmbench,pnnl/QASMBench,357b942396d5c2b7cbc1c229c585a6ef5ccaebac,cc_n12,25,24,1,0,0,0,1,0,11
dqc_bitflip_code,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,dqc_bitflip_code,3,3,0,0,0,0,0,0,6
dqc_phaseflip_code,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,dqc_phaseflip_code,3,3,0,0,0,0,0,0,6
dqc_state_injection_S,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,dqc_state_injection_S,1,1,0,0,0,0,0,0,1
dqc_state_injection_T,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,dqc_state_injection_T,1,1,0,0,0,0,0,0,1
dqc_teleportation,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,dqc_teleportation,2,2,0,0,0,0,0,0,2
dqc_pe_10,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,45,45,0,0,0,0,0,0,10
dqc_pe_100,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,4950,4950,0,0,0,0,0,0,100
dqc_pe_11,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,55,55,0,0,0,0,0,0,11
dqc_pe_12,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,66,66,0,0,0,0,0,0,12
dqc_pe_13,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,78,78,0,0,0,0,0,0,13
dqc_pe_14,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,91,91,0,0,0,0,0,0,14
dqc_pe_15,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,105,105,0,0,0,0,0,0,15
dqc_pe_16,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,120,120,0,0,0,0,0,0,16
dqc_pe_17,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,136,136,0,0,0,0,0,0,17
dqc_pe_18,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,153,153,0,0,0,0,0,0,18
dqc_pe_19,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,171,171,0,0,0,0,0,0,19
dqc_pe_2,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,1,1,0,0,0,0,0,0,2
dqc_pe_20,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,190,190,0,0,0,0,0,0,20
dqc_pe_21,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,210,210,0,0,0,0,0,0,21
dqc_pe_22,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,231,231,0,0,0,0,0,0,22
dqc_pe_23,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,253,253,0,0,0,0,0,0,23
dqc_pe_24,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,276,276,0,0,0,0,0,0,24
dqc_pe_25,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,300,300,0,0,0,0,0,0,25
dqc_pe_26,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,325,325,0,0,0,0,0,0,26
dqc_pe_27,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,351,351,0,0,0,0,0,0,27
dqc_pe_28,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,378,378,0,0,0,0,0,0,28
dqc_pe_29,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,406,406,0,0,0,0,0,0,29
dqc_pe_3,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,3,3,0,0,0,0,0,0,3
dqc_pe_30,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,435,435,0,0,0,0,0,0,30
dqc_pe_31,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,465,465,0,0,0,0,0,0,31
dqc_pe_32,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,496,496,0,0,0,0,0,0,32
dqc_pe_33,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,528,528,0,0,0,0,0,0,33
dqc_pe_34,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,561,561,0,0,0,0,0,0,34
dqc_pe_35,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,595,595,0,0,0,0,0,0,35
dqc_pe_36,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,630,630,0,0,0,0,0,0,36
dqc_pe_37,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,666,666,0,0,0,0,0,0,37
dqc_pe_38,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,703,703,0,0,0,0,0,0,38
dqc_pe_39,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,741,741,0,0,0,0,0,0,39
dqc_pe_4,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,6,6,0,0,0,0,0,0,4
dqc_pe_40,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,780,780,0,0,0,0,0,0,40
dqc_pe_41,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,820,820,0,0,0,0,0,0,41
dqc_pe_42,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,861,861,0,0,0,0,0,0,42
dqc_pe_43,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,903,903,0,0,0,0,0,0,43
dqc_pe_44,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,946,946,0,0,0,0,0,0,44
dqc_pe_45,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,990,990,0,0,0,0,0,0,45
dqc_pe_46,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,1035,1035,0,0,0,0,0,0,46
dqc_pe_47,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,1081,1081,0,0,0,0,0,0,47
dqc_pe_48,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,1128,1128,0,0,0,0,0,0,48
dqc_pe_49,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,1176,1176,0,0,0,0,0,0,49
dqc_pe_5,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,10,10,0,0,0,0,0,0,5
dqc_pe_50,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,1225,1225,0,0,0,0,0,0,50
dqc_pe_51,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,1275,1275,0,0,0,0,0,0,51
dqc_pe_52,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,1326,1326,0,0,0,0,0,0,52
dqc_pe_53,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,1378,1378,0,0,0,0,0,0,53
dqc_pe_54,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,1431,1431,0,0,0,0,0,0,54
dqc_pe_55,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,1485,1485,0,0,0,0,0,0,55
dqc_pe_56,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,1540,1540,0,0,0,0,0,0,56
dqc_pe_57,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,1596,1596,0,0,0,0,0,0,57
dqc_pe_58,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,1653,1653,0,0,0,0,0,0,58
dqc_pe_59,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,1711,1711,0,0,0,0,0,0,59
dqc_pe_6,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,15,15,0,0,0,0,0,0,6
dqc_pe_60,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,1770,1770,0,0,0,0,0,0,60
dqc_pe_61,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,1830,1830,0,0,0,0,0,0,61
dqc_pe_62,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,1891,1891,0,0,0,0,0,0,62
dqc_pe_63,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,1953,1953,0,0,0,0,0,0,63
dqc_pe_64,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,2016,2016,0,0,0,0,0,0,64
dqc_pe_65,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,2080,2080,0,0,0,0,0,0,65
dqc_pe_66,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,2145,2145,0,0,0,0,0,0,66
dqc_pe_67,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,2211,2211,0,0,0,0,0,0,67
dqc_pe_68,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,2278,2278,0,0,0,0,0,0,68
dqc_pe_69,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,2346,2346,0,0,0,0,0,0,69
dqc_pe_7,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,21,21,0,0,0,0,0,0,7
dqc_pe_70,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,2415,2415,0,0,0,0,0,0,70
dqc_pe_71,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,2485,2485,0,0,0,0,0,0,71
dqc_pe_72,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,2556,2556,0,0,0,0,0,0,72
dqc_pe_73,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,2628,2628,0,0,0,0,0,0,73
dqc_pe_74,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,2701,2701,0,0,0,0,0,0,74
dqc_pe_75,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,2775,2775,0,0,0,0,0,0,75
dqc_pe_76,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,2850,2850,0,0,0,0,0,0,76
dqc_pe_77,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,2926,2926,0,0,0,0,0,0,77
dqc_pe_78,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,3003,3003,0,0,0,0,0,0,78
dqc_pe_79,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,3081,3081,0,0,0,0,0,0,79
dqc_pe_8,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,28,28,0,0,0,0,0,0,8
dqc_pe_80,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,3160,3160,0,0,0,0,0,0,80
dqc_pe_81,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,3240,3240,0,0,0,0,0,0,81
dqc_pe_82,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,3321,3321,0,0,0,0,0,0,82
dqc_pe_83,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,3403,3403,0,0,0,0,0,0,83
dqc_pe_84,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,3486,3486,0,0,0,0,0,0,84
dqc_pe_85,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,3570,3570,0,0,0,0,0,0,85
dqc_pe_86,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,3655,3655,0,0,0,0,0,0,86
dqc_pe_87,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,3741,3741,0,0,0,0,0,0,87
dqc_pe_88,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,3828,3828,0,0,0,0,0,0,88
dqc_pe_89,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,3916,3916,0,0,0,0,0,0,89
dqc_pe_9,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,36,36,0,0,0,0,0,0,9
dqc_pe_90,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,4005,4005,0,0,0,0,0,0,90
dqc_pe_91,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,4095,4095,0,0,0,0,0,0,91
dqc_pe_92,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,4186,4186,0,0,0,0,0,0,92
dqc_pe_93,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,4278,4278,0,0,0,0,0,0,93
dqc_pe_94,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,4371,4371,0,0,0,0,0,0,94
dqc_pe_95,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,4465,4465,0,0,0,0,0,0,95
dqc_pe_96,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,4560,4560,0,0,0,0,0,0,96
dqc_pe_97,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,4656,4656,0,0,0,0,0,0,97
dqc_pe_98,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,4753,4753,0,0,0,0,0,0,98
dqc_pe_99,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,pe,4851,4851,0,0,0,0,0,0,99
dqc_qft_10,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,45,45,0,0,0,0,0,0,0
dqc_qft_100,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,4950,4950,0,0,0,0,0,0,0
dqc_qft_11,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,55,55,0,0,0,0,0,0,0
dqc_qft_12,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,66,66,0,0,0,0,0,0,0
dqc_qft_13,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,78,78,0,0,0,0,0,0,0
dqc_qft_14,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,91,91,0,0,0,0,0,0,0
dqc_qft_15,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,105,105,0,0,0,0,0,0,0
dqc_qft_16,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,120,120,0,0,0,0,0,0,0
dqc_qft_17,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,136,136,0,0,0,0,0,0,0
dqc_qft_18,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,153,153,0,0,0,0,0,0,0
dqc_qft_19,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,171,171,0,0,0,0,0,0,0
dqc_qft_2,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,1,1,0,0,0,0,0,0,0
dqc_qft_20,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,190,190,0,0,0,0,0,0,0
dqc_qft_21,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,210,210,0,0,0,0,0,0,0
dqc_qft_22,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,231,231,0,0,0,0,0,0,0
dqc_qft_23,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,253,253,0,0,0,0,0,0,0
dqc_qft_24,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,276,276,0,0,0,0,0,0,0
dqc_qft_25,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,300,300,0,0,0,0,0,0,0
dqc_qft_26,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,325,325,0,0,0,0,0,0,0
dqc_qft_27,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,351,351,0,0,0,0,0,0,0
dqc_qft_28,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,378,378,0,0,0,0,0,0,0
dqc_qft_29,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,406,406,0,0,0,0,0,0,0
dqc_qft_3,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,3,3,0,0,0,0,0,0,0
dqc_qft_30,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,435,435,0,0,0,0,0,0,0
dqc_qft_31,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,465,465,0,0,0,0,0,0,0
dqc_qft_32,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,496,496,0,0,0,0,0,0,0
dqc_qft_33,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,528,528,0,0,0,0,0,0,0
dqc_qft_34,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,561,561,0,0,0,0,0,0,0
dqc_qft_35,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,595,595,0,0,0,0,0,0,0
dqc_qft_36,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,630,630,0,0,0,0,0,0,0
dqc_qft_37,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,666,666,0,0,0,0,0,0,0
dqc_qft_38,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,703,703,0,0,0,0,0,0,0
dqc_qft_39,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,741,741,0,0,0,0,0,0,0
dqc_qft_4,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,6,6,0,0,0,0,0,0,0
dqc_qft_40,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,780,780,0,0,0,0,0,0,0
dqc_qft_41,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,820,820,0,0,0,0,0,0,0
dqc_qft_42,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,861,861,0,0,0,0,0,0,0
dqc_qft_43,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,903,903,0,0,0,0,0,0,0
dqc_qft_44,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,946,946,0,0,0,0,0,0,0
dqc_qft_45,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,990,990,0,0,0,0,0,0,0
dqc_qft_46,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,1035,1035,0,0,0,0,0,0,0
dqc_qft_47,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,1081,1081,0,0,0,0,0,0,0
dqc_qft_48,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,1128,1128,0,0,0,0,0,0,0
dqc_qft_49,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,1176,1176,0,0,0,0,0,0,0
dqc_qft_5,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,10,10,0,0,0,0,0,0,0
dqc_qft_50,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,1225,1225,0,0,0,0,0,0,0
dqc_qft_51,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,1275,1275,0,0,0,0,0,0,0
dqc_qft_52,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,1326,1326,0,0,0,0,0,0,0
dqc_qft_53,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,1378,1378,0,0,0,0,0,0,0
dqc_qft_54,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,1431,1431,0,0,0,0,0,0,0
dqc_qft_55,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,1485,1485,0,0,0,0,0,0,0
dqc_qft_56,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,1540,1540,0,0,0,0,0,0,0
dqc_qft_57,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,1596,1596,0,0,0,0,0,0,0
dqc_qft_58,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,1653,1653,0,0,0,0,0,0,0
dqc_qft_59,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,1711,1711,0,0,0,0,0,0,0
dqc_qft_6,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,15,15,0,0,0,0,0,0,0
dqc_qft_60,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,1770,1770,0,0,0,0,0,0,0
dqc_qft_61,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,1830,1830,0,0,0,0,0,0,0
dqc_qft_62,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,1891,1891,0,0,0,0,0,0,0
dqc_qft_63,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,1953,1953,0,0,0,0,0,0,0
dqc_qft_64,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,2016,2016,0,0,0,0,0,0,0
dqc_qft_65,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,2080,2080,0,0,0,0,0,0,0
dqc_qft_66,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,2145,2145,0,0,0,0,0,0,0
dqc_qft_67,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,2211,2211,0,0,0,0,0,0,0
dqc_qft_68,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,2278,2278,0,0,0,0,0,0,0
dqc_qft_69,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,2346,2346,0,0,0,0,0,0,0
dqc_qft_7,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,21,21,0,0,0,0,0,0,0
